LAT;;;;;37.9795;37.9795
LON;;;;;23.7162;23.7162
ASL;;;;;70.0000;70.0000
CITY;;;;;Athens;Athens
DOMAIN;;;;;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;sfc
NAME;;;;;Temperature;Shortwave Radiation
UNIT;;;;;°C;W/m2
AGGREGATION;;;;;;
UTC_OFFSET;;;;;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Shortwave Radiation  [sfc]
2018;12;02;15;00;13.44;280.35
2018;12;02;16;00;12.92;165.54
2018;12;02;17;00;12.38;58.74
2018;12;02;18;00;12.34;0.00
2018;12;02;19;00;11.63;0.00
2018;12;02;20;00;10.82;0.00
2018;12;02;21;00;10.31;0.00
2018;12;02;22;00;9.41;0.00
2018;12;02;23;00;8.63;0.00
2018;12;03;00;00;8.12;0.00
2018;12;03;01;00;7.90;0.00
2018;12;03;02;00;8.07;0.00
2018;12;03;03;00;8.20;0.00
2018;12;03;04;00;8.13;0.00
2018;12;03;05;00;8.09;0.00
2018;12;03;06;00;8.04;0.00
2018;12;03;07;00;8.00;0.00
2018;12;03;08;00;7.96;17.80
2018;12;03;09;00;9.30;156.64
2018;12;03;10;00;11.44;304.38
2018;12;03;11;00;12.88;416.52
2018;12;03;12;00;13.80;480.60
2018;12;03;13;00;14.44;494.84
2018;12;03;14;00;15.02;456.57
2018;12;03;15;00;15.01;367.57
2018;12;03;16;00;14.45;233.18
2018;12;03;17;00;13.38;77.43
2018;12;03;18;00;12.87;0.00
2018;12;03;19;00;12.27;0.00
2018;12;03;20;00;11.81;0.00
2018;12;03;21;00;11.01;0.00
2018;12;03;22;00;10.10;0.00
2018;12;03;23;00;10.17;0.00
2018;12;04;00;00;10.06;0.00
2018;12;04;01;00;9.56;0.00
2018;12;04;02;00;9.48;0.00
2018;12;04;03;00;10.34;0.00
2018;12;04;04;00;9.62;0.00
2018;12;04;05;00;9.28;0.00
2018;12;04;06;00;8.40;0.00
2018;12;04;07;00;7.96;0.00
2018;12;04;08;00;8.36;19.58
2018;12;04;09;00;9.96;165.54
2018;12;04;10;00;11.83;311.50
2018;12;04;11;00;12.94;419.19
2018;12;04;12;00;13.80;479.71
2018;12;04;13;00;14.61;493.06
2018;12;04;14;00;15.25;455.68
2018;12;04;15;00;15.48;371.13
2018;12;04;16;00;15.09;244.75
2018;12;04;17;00;13.78;86.33
2018;12;04;18;00;13.00;0.00
2018;12;04;19;00;12.61;0.00
2018;12;04;20;00;12.24;0.00
2018;12;04;21;00;12.00;0.00
2018;12;04;22;00;11.19;0.00
2018;12;04;23;00;9.92;0.00
